Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,Country,City,Store_Name,Sales_Channel,Product_Category,Product_Name,SKU,Quantity,Unit_Price,Cost,Payment_Method,Customer_Rating,Return_Reason,Currency,Inventory_Available,Revenue,Profit
PUMA102365,2025-01-24,C47727,Denise Melton,Female,62,France,Berlin,Puma Mumbai,Mobile App,Running Shoes,Puma Running Shoes 26,SKU564852,8,1497.0,7853.82,Card,1.0,Delivered - Not Returned,EUR,598,11976.0,4122.18
PUMA143190,2024-05-04,C75759,Barbara Lawson,Female,58,Germany,New York,Puma NYC,Website,Track Pants,Puma Accessories 43,SKU429577,9,5326.0,28200.14,Cash,5.0,Changed Mind,AED,761,47934.0,19733.86
PUMA135471,2024-04-03,C59515,Sarah Gray,Male,38,France,Mumbai ,Puma London,Store,Jackets,Puma Accessories 44,SKU938764,7,6524.0,37674.22,Net Banking,4.0,Wrong Size,EUR,639,45668.0,7993.78
PUMA100148,2025-09-16,C73441,April Evans,Male,51,UAE,New York,Puma Mumbai,Mobile App,Accessories,Puma Accessories 15,SKU852060,8,9360.0,55690.64,PayPal,3.0,Not Specified,AED,54,74880.0,19189.36
PUMA104594,2024-08-15,C36102,Tammy White,Female,25,India,Sydney,Puma NYC,Website,Jackets,Puma T-Shirts 31,SKU861818,5,8611.0,21215.08,Net Banking,3.0,Damaged,USD,732,43055.0,21839.92
PUMA134149,2023-08-09,C64375,Alexander French,Female,49,France,Dubai,Puma Dubai,Mobile App,Sports Shoes,Puma Jackets 94,SKU499338,6,10882.0,39420.62,Net Banking,1.0,Changed Mind,INR,611,65292.0,25871.38
PUMA142806,2023-07-24,C12664,Patricia Benson,Female,27,UK,Mumbai,Puma Mumbai,Store,Running Shoes,Puma Accessories 90,SKU630531,4,5244.0,14091.66,Net Banking,3.0,Changed Mind,USD,942,20976.0,6884.34
PUMA124111,2025-01-07,C75031,David Pacheco,Male,55,India,Mumbai ,Puma NYC,Mobile App,Accessories,Puma Accessories 29,SKU761517,9,10718.0,69608.56,UPI,4.0,Not Specified,USD,394,96462.0,26853.44
PUMA139269,2024-10-28,C36917,Miss Krystal Wells,Female,37,India,Paris,Puma Mumbai,Marketplace,Jackets,Puma Running Shoes 42,SKU168578,3,4970.0,7252.75,PayPal,3.0,Not Specified,AED,236,14910.0,7657.25
PUMA128899,2023-08-17,C16153,Lucas Stevens,Male,34,India,Mumbai,Puma Berlin,Marketplace,T-Shirts,Puma Track Pants 3,SKU432447,8,11214.0,67197.53,PayPal,1.0,Not Specified,AED,40,89712.0,22514.47
PUMA125578,2024-05-20,C69264,Terry Hess,Female,65,France,Berlin,Puma London,Website,Running Shoes,Puma Accessories 19,SKU239229,1,6444.0,4222.18,Net Banking,2.0,Damaged,AED,404,6444.0,2221.82
PUMA120509,2024-01-15,C37439,Rachel Richardson,Male,56,India,Bangalore,Puma Mumbai,Website,T-Shirts,Puma Sports Shoes 83,SKU490907,4,10973.0,21456.59,UPI,1.0,Wrong Size,AED,285,43892.0,22435.41
PUMA141092,2024-02-20,C75644,Laura Taylor,Female,41,USA,Mumbai ,Puma NYC,Marketplace,Sports Shoes,Puma T-Shirts 84,SKU230883,3,1589.0,2714.73,PayPal,4.0,Delivered - Not Returned,USD,703,4767.0,2052.27
PUMA129911,2023-01-16,C88050,Unknown,Female,33,UAE,Delhi,Puma Dubai,Mobile App,Track Pants,Puma Jackets 40,SKU738807,6,2739.0,10931.14,Card,1.0,Not Specified,USD,430,16434.0,5502.86
PUMA113610,2024-04-30,C98929,Eric Lowery,Female,61,France,Delhi,Puma Berlin,Marketplace,T-Shirts,Puma Track Pants 11,SKU957288,8,6099.0,30891.41,PayPal,3.0,Not Specified,EUR,157,48792.0,17900.59
PUMA132767,2024-03-07,C24613,Christopher Kramer,Female,52,Australia,Mumbai ,Puma Berlin,Store,Track Pants,Puma Running Shoes 30,SKU402728,4,2305.0,6525.32,UPI,3.0,Not Specified,USD,585,9220.0,2694.68
PUMA121554,2025-06-20,C38419,Benjamin Johnson,Female,19,UK,Delhi,Puma Mumbai,Marketplace,Accessories,Puma Sports Shoes 76,SKU485414,9,11891.0,90565.53,UPI,5.0,Not Specified,INR,361,107019.0,16453.47
PUMA138898,2025-09-29,C36474,Madison Phillips,Male,22,UAE,Sydney,Puma Mumbai,Store,Sports Shoes,Puma Accessories 72,SKU334527,3,10410.0,14190.71,Cash,1.0,Late Delivery,EUR,511,31230.0,17039.29
PUMA149132,2023-11-19,C59898,Unknown,Male,19,UAE,Sydney,Puma Delhi,Store,Track Pants,Puma Track Pants 51,SKU781160,4,6692.0,13893.55,Cash,4.0,Changed Mind,GBP,913,26768.0,12874.45
PUMA145762,2023-12-22,C21494,Cheryl Mccarthy,Female,17,Germany,Dubai,Puma Berlin,Store,Running Shoes,Puma Jackets 62,SKU938160,6,10449.0,45397.75,Card,4.0,Wrong Size,EUR,175,62694.0,17296.25
PUMA107486,2025-09-06,C66576,Michelle Johnson,Female,20,India,Dubai,Puma NYC,Mobile App,T-Shirts,Puma Jackets 85,SKU630614,8,4565.0,26077.46,UPI,2.0,Late Delivery,USD,573,36520.0,10442.54
PUMA144950,2023-06-26,C14929,Lee George,Female,37,Australia,Dubai,Puma Delhi,Marketplace,T-Shirts,Puma Accessories 97,SKU135980,4,4947.0,15801.22,Cash,4.0,Wrong Size,INR,273,19788.0,3986.78
PUMA137126,2024-09-08,C76910,Emily Beard,Male,15,Australia,New York,Puma Berlin,Website,Running Shoes,Puma Track Pants 73,SKU880692,6,10917.0,53507.35,UPI,4.0,Delivered - Not Returned,AED,58,65502.0,11994.65
PUMA125996,2024-08-24,C52765,Michelle Harris,Male,51,France,Mumbai ,Puma Mumbai,Website,Jackets,Puma T-Shirts 80,SKU576221,10,9602.0,70896.05,Card,2.0,Late Delivery,GBP,324,96020.0,25123.95
PUMA125555,2023-10-23,C20533,Patrick Burke,Female,23,Germany,London,Puma London,Website,T-Shirts,Puma Jackets 15,SKU177322,4,2725.0,7166.15,Card,2.0,Wrong Size,GBP,542,10900.0,3733.85
PUMA110146,2023-02-14,C94537,Leslie Hughes,Male,36,Australia,Delhi,Puma Mumbai,Website,Jackets,Puma T-Shirts 99,SKU489273,10,11620.0,88059.6,Net Banking,5.0,Delivered - Not Returned,INR,244,116200.0,28140.4
PUMA148745,2023-12-01,C89140,Ryan Howard,Male,45,Australia,Sydney,Puma Mumbai,Mobile App,Track Pants,Puma Jackets 86,SKU577969,9,9957.0,41304.33,Net Banking,4.0,Wrong Size,INR,590,89613.0,48308.67
PUMA133010,2024-07-06,C98069,Michael Bates,Female,16,Australia,London,Puma Delhi,Marketplace,Accessories,Puma Track Pants 9,SKU931237,9,2515.0,16164.13,Net Banking,5.0,Delivered - Not Returned,INR,76,22635.0,6470.87
PUMA108397,2024-04-06,C19803,Chad Gillespie,Female,28,France,New York,Puma Mumbai,Website,T-Shirts,Puma Track Pants 21,SKU692251,5,8272.0,26260.15,UPI,3.0,Damaged,EUR,6,41360.0,15099.85
PUMA131356,2025-07-19,C78019,Unknown,Female,25,France,New York,Puma NYC,Mobile App,Running Shoes,Puma Track Pants 7,SKU895624,9,528.0,2970.16,Net Banking,2.0,Late Delivery,AED,491,4752.0,1781.84
PUMA116372,2024-08-24,C19084,Michael White,Male,29,Germany,Delhi,Puma NYC,Marketplace,Track Pants,Puma Track Pants 30,SKU968965,2,2502.0,2406.36,Cash,3.0,Damaged,USD,733,5004.0,2597.64
PUMA116886,2023-03-23,C74769,Kimberly Mcdonald,Male,43,UAE,Berlin,Puma Mumbai,Website,Accessories,Puma Track Pants 87,SKU821125,5,8917.0,26729.82,Cash,2.0,Late Delivery,AED,620,44585.0,17855.18
PUMA132944,2025-10-14,C86695,Sherry Erickson,Male,61,India,Mumbai,Puma London,Store,Running Shoes,Puma Track Pants 87,SKU195991,1,4166.0,3074.06,Net Banking,5.0,Changed Mind,USD,549,4166.0,1091.94
PUMA115883,2025-06-06,C73714,Kelly Chambers,Female,64,Germany,Delhi,Puma Delhi,Marketplace,Accessories,Puma Jackets 88,SKU352797,1,8765.0,4861.78,Net Banking,3.0,Changed Mind,GBP,626,8765.0,3903.22
PUMA130802,2023-07-25,C75704,Christopher Gomez,Female,38,India,Paris,Puma London,Store,Running Shoes,Puma Sports Shoes 25,SKU145236,4,7659.0,25782.91,UPI,4.0,Late Delivery,GBP,216,30636.0,4853.09
PUMA130024,2023-12-01,C62766,Cynthia Patrick,Female,61,UK,London,Puma Delhi,Marketplace,Jackets,Puma Accessories 21,SKU348335,9,7071.0,47854.71,Card,1.0,Not Specified,EUR,234,63639.0,15784.29
PUMA125675,2024-09-09,C83759,Stephanie Ross,Male,21,India,Paris,Puma Berlin,Website,Track Pants,Puma Accessories 91,SKU463243,10,734.0,3543.46,PayPal,3.0,Changed Mind,USD,598,7340.0,3796.54
PUMA105428,2023-02-08,C35488,Kelly Brown,Female,20,India,Sydney,Puma Delhi,Website,Accessories,Puma Running Shoes 63,SKU839476,3,9617.0,21848.72,Card,4.0,Late Delivery,AED,845,28851.0,7002.28
PUMA139178,2025-06-29,C28265,Joshua Jones,Female,48,Australia,Delhi,Puma Mumbai,Marketplace,Accessories,Puma Running Shoes 71,SKU145711,1,6454.0,3215.39,UPI,4.0,Damaged,USD,945,6454.0,3238.61
PUMA135348,2023-03-28,C91970,Shannon Frost,Female,34,Germany,London,Puma Dubai,Store,T-Shirts,Puma Jackets 40,SKU672331,9,3536.0,20848.05,Net Banking,2.0,Damaged,GBP,851,31824.0,10975.95
PUMA136986,2024-11-15,C69628,Vincent Gibbs,Female,29,Australia,Delhi,Puma Berlin,Store,Sports Shoes,Puma Jackets 29,SKU936217,3,11382.0,26871.23,Card,5.0,Delivered - Not Returned,INR,850,34146.0,7274.77
PUMA144724,2023-01-19,C32194,Amanda Chandler,Female,62,UAE,London,Puma London,Marketplace,Track Pants,Puma Accessories 7,SKU574895,7,7819.0,40358.12,Cash,4.0,Not Specified,INR,859,54733.0,14374.88
PUMA103261,2024-02-22,C42954,Danielle Lowery,Male,55,Germany,New York,Puma Mumbai,Mobile App,Track Pants,Puma Track Pants 85,SKU280805,3,8964.0,21354.21,UPI,4.0,Wrong Size,GBP,534,26892.0,5537.79
PUMA139720,2023-11-07,C14965,Lucas Gilbert,Female,65,USA,Berlin,Puma Dubai,Store,T-Shirts,Puma Running Shoes 54,SKU781784,6,8879.0,31887.88,UPI,4.0,Delivered - Not Returned,GBP,472,53274.0,21386.12
