Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,Country,City,Store_Name,Sales_Channel,Product_Category,Product_Name,SKU,Quantity,Unit_Price,Discount_%,Revenue,Cost,Profit,Payment_Method,Customer_Rating,Return_Reason,Currency,Inventory_Available
PUMA102365,1/24/2025,C47727,Denise Melton,,62,France,Berlin,Puma-Mumbai,Mobile App,Running Shoes,Puma Running Shoes 26,SKU564852,8,1497,20,11976,7853.82,4122.18,Card,1,Delivered - Not Returned,EUR,598
PUMA143190,5/4/2024,C75759,Barbara Lawson,,58,Germany,NewYork,Puma NYC,Website,Track Pants,Puma Accessories 43,SKU429577,9,5326,10,47934,28200.14,19733.86,Cash,5,Changed Mind,AED,761
PUMA135471,4/3/2024,C59515,Sarah Gray,Male,38,France,Mumbai ,Puma London,Store,Jackets,Puma Accessories 44,SKU938764,7,6524,15,45668,37674.22,7993.78,Net Banking,4,Wrong Size,EUR,639
PUMA100148,9/16/2025,C73441,April Evans,Male,51,UAE,New York,Puma-Mumbai,Mobile App,Accessories,Puma Accessories 15,SKU852060,8,9360,15,74880,55690.64,19189.36,PayPal,3,,AED,54
PUMA104594,Aug 15 2024,C36102,Tammy White,Female,25,India,Sydney,Puma NYC,Website,Jackets,Puma T-Shirts 31,SKU861818,5,8611,5,43055,21215.08,21839.92,Net Banking,3,Damaged,USD,732
PUMA134149,Aug 09 2023,C64375,Alexander French,,49,France,Dubai,Puma Dubai,Mobile App,Sports Shoes,Puma Jackets 94,SKU499338,6,10882,5,65292,39420.62,25871.38,Net Banking,1,Changed Mind,INR,611
PUMA142806,7/24/2023,C12664,Patricia Benson,F,27,UK,Mumbai,Puma Mumbai,Store,Running Shoes,Puma Accessories 90,SKU630531,4,5244,15,20976,14091.66,6884.34,Net Banking,3,Changed Mind,USD,942
PUMA124111,1/7/2025,C75031,David Pacheco,Male,55,India,Mumbai ,Puma NYC,Mobile App,Accessories,Puma Accessories 29,SKU761517,9,10718,5,96462,69608.56,26853.44,UPI,4,,USD,394
PUMA139269,10/28/2024,C36917,Miss Krystal Wells,,37,India,Paris,Puma Mumbai,Marketplace,Jackets,Puma Running Shoes 42,SKU168578,3,4970,25,14910,7252.75,7657.25,PayPal,3,,AED,236
PUMA128899,Aug 17 2023,C16153,Lucas Stevens,Male,34,India,Mumbai,Puma Berlin,Marketplace,T-Shirts,Puma Track Pants 3,SKU432447,8,11214,15,89712,67197.53,22514.47,PayPal,1,,AED,40
PUMA125578,May 20 2024,C69264,Terry Hess,Female,65,France,Berlin,Puma London,Website,Running Shoes,Puma Accessories 19,SKU239229,1,6444,5,6444,4222.18,2221.82,Net Banking,2,Damaged,AED,404
PUMA120509,Jan 15 2024,C37439,Rachel Richardson,Male,56,India,Bangalore,PUMA Mumbai,Website,T-Shirts,Puma Sports Shoes 83,SKU490907,4,10973,0,43892,21456.59,22435.41,UPI,1,Wrong Size,AED,285
PUMA141092,20/02/2024,C75644,Laura Taylor,,41,USA,Mumbai ,Puma NYC,Marketplace,Sports Shoes,Puma T-Shirts 84,SKU230883,3,1589,5,4767,2714.73,2052.27,PayPal,,Delivered - Not Returned,USD,703
PUMA129911,16/01/2023,C88050,,F,33,UAE,Delhi,Puma Dubai,Mobile App,Track Pants,Puma Jackets 40,SKU738807,6,2739,0,16434,10931.14,5502.86,Card,1,,USD,430
PUMA113610,4/30/2024,C98929,Eric Lowery,F,,France,Delhi,Puma Berlin,Marketplace,T-Shirts,Puma Track Pants 11,SKU957288,8,6099,25,48792,30891.41,17900.59,PayPal,3,,EUR,157
PUMA132767,3/7/2024,C24613,Christopher Kramer,Female,52,Australia,Mumbai ,Puma Berlin,Store,Track Pants,Puma Running Shoes 30,SKU402728,4,2305,15,9220,6525.32,2694.68,UPI,3,,USD,585
PUMA121554,6/20/2025,C38419,Benjamin Johnson,F,19,UK,Delhii,Puma-Mumbai,Marketplace,Accessories,Puma Sports Shoes 76,SKU485414,9,11891,5,107019,90565.53,16453.47,UPI,5,,INR,361
PUMA138898,29/09/2025,C36474,Madison Phillips,Male,22,UAE,Sydney,PUMA Mumbai,Store,Sports Shoes,Puma Accessories 72,SKU334527,3,10410,20,31230,14190.71,17039.29,Cash,1,Late Delivery,EUR,511
PUMA149132,Nov 19 2023,C59898,,Male,19,UAE,Sydney,Puma Delhi,Store,Track Pants,Puma Track Pants 51,SKU781160,4,6692,10,26768,13893.55,12874.45,Cash,,Changed Mind,GBP,913
